"Supplemental Table 5. Predictive performance (AUROCs) for each type of health event in each database with different augmentation ratios, under the overall health event prediction evaluation.",,,,,,,,
Fold,Proportion,Accuracy,Sensitivity,Specificity,F1,AUC,Type,DS
1,all real(baseline),0.733333333,0.416666667,1,0.636363636,0.755555556,calving,D1
1,real+50%Syn,0.733333333,0.466666667,1,0.636363636,0.711111111,calving,D1
1,real+100%Syn,0.733333333,0.466666667,1,0.636363636,0.8,calving,D1
1,real+150%Syn,0.733333333,0.466666667,1,0.636363636,0.68,calving,D1
1,real+200%Syn,0.733333333,0.466666667,1,0.636363636,0.635555556,calving,D1
1,real+300%Syn,0.733333333,0.466666667,1,0.636363636,0.662222222,calving,D1
1,all Syn,0.7,0.4,1,0.571428571,0.653333333,calving,D1
2,all real(baseline),0.766666667,0.483333333,1,0.695652174,0.937777778,calving,D1
2,real+50%Syn,0.766666667,0.533333333,1,0.695652174,0.937777778,calving,D1
2,real+100%Syn,0.766666667,0.533333333,1,0.695652174,0.986666667,calving,D1
2,real+150%Syn,0.766666667,0.533333333,1,0.695652174,0.977777778,calving,D1
2,real+200%Syn,0.766666667,0.533333333,1,0.695652174,1,calving,D1
2,real+300%Syn,0.766666667,0.533333333,1,0.695652174,0.942222222,calving,D1
2,all Syn,0.766666667,0.533333333,1,0.695652174,0.937777778,calving,D1
3,all real(baseline),0.966666667,0.95,0.933333333,0.967741935,1,calving,D1
3,real+50%Syn,0.966666667,1,0.933333333,0.967741935,1,calving,D1
3,real+100%Syn,0.933333333,1,0.866666667,0.9375,1,calving,D1
3,real+150%Syn,0.966666667,1,0.933333333,0.967741935,1,calving,D1
3,real+200%Syn,0.966666667,1,0.933333333,0.967741935,1,calving,D1
3,real+300%Syn,0.933333333,1,0.866666667,0.9375,1,calving,D1
3,all Syn,1,1,1,1,1,calving,D1
1,all real(baseline),0.571428571,0.235714286,0.857142857,0.4,0.510204082,estrus,D1
1,real+50%Syn,0.642857143,0.285714286,1,0.444444444,0.428571429,estrus,D1
1,real+100%Syn,0.571428571,0.142857143,1,0.25,0.551020408,estrus,D1
1,real+150%Syn,0.642857143,0.285714286,1,0.444444444,0.530612245,estrus,D1
1,real+200%Syn,0.571428571,0.285714286,0.857142857,0.4,0.469387755,estrus,D1
1,real+300%Syn,0.642857143,0.285714286,1,0.444444444,0.693877551,estrus,D1
1,all Syn,0.571428571,0.192857143,1,0.25,0.816326531,estrus,D1
2,all real(baseline),0.571428571,0.092857143,1,0.25,0.163265306,estrus,D1
2,real+50%Syn,0.571428571,0.142857143,1,0.25,0.714285714,estrus,D1
2,real+100%Syn,0.5,0.142857143,0.857142857,0.222222222,0.142857143,estrus,D1
2,real+150%Syn,0.571428571,0.142857143,1,0.25,0.632653061,estrus,D1
2,real+200%Syn,1,1,1,1,1,estrus,D1
2,real+300%Syn,1,1,1,1,1,estrus,D1
2,all Syn,1,1,1,1,1,estrus,D1
3,all real(baseline),0.5,0,1,0,0.102040816,estrus,D1
3,real+50%Syn,0.5,0,1,0,0.142857143,estrus,D1
3,real+100%Syn,0.428571429,0,0.857142857,0,0.020408163,estrus,D1
3,real+150%Syn,0.5,0,1,0,0,estrus,D1
3,real+200%Syn,0.428571429,0,0.857142857,0,0,estrus,D1
3,real+300%Syn,0.5,0.142857143,0.857142857,0.222222222,0.632653061,estrus,D1
3,all Syn,0.5,0.05,1,0,0.816326531,estrus,D1
1,all real(baseline),0.904761905,0.75952381,1,0.894736842,0.968253968,disease,D1
1,real+50%Syn,0.904761905,0.80952381,1,0.894736842,0.968253968,disease,D1
1,real+100%Syn,0.904761905,0.80952381,1,0.894736842,0.984126984,disease,D1
1,real+150%Syn,0.904761905,0.80952381,1,0.894736842,0.990929705,disease,D1
1,real+200%Syn,0.904761905,0.80952381,1,0.894736842,0.977324263,disease,D1
1,real+300%Syn,0.904761905,0.80952381,1,0.894736842,0.979591837,disease,D1
1,all Syn,0.857142857,0.764285714,1,0.833333333,0.990929705,disease,D1
2,all real(baseline),1,0.95,1,1,1,disease,D1
2,real+50%Syn,0.976190476,1,0.952380952,0.976744186,1,disease,D1
