"Supplemental Table 6. Predictive performance (AUROCs) for each type of health event in each database with different augmentation ratios, under the future health event prediction evaluation.",,,,,,,
Proportion,Accuracy,Sensitivity,Specificity,F1,AUC,Type,DS
all real(baseline),0.7,0.36,1,0.571428571,0.8,estrus,D1
real+50%Syn,0.7,0.4,1,0.571428571,0.8,estrus,D1
real+100%Syn,0.6,0.4,0.8,0.5,0.64,estrus,D1
real+150%Syn,0.7,0.4,1,0.571428571,0.8,estrus,D1
real+200%Syn,0.7,0.4,1,0.571428571,0.68,estrus,D1
real+300%Syn,0.6,0.4,0.8,0.5,0.64,estrus,D1
all Syn,0.6,0.4,0.8,0.5,0.64,estrus,D1
all real(baseline),0.666666667,0.606666667,0.666666667,0.666666667,0.777777778,disease,D1
real+50%Syn,0.666666667,0.666666667,0.666666667,0.666666667,0.722222222,disease,D1
real+100%Syn,0.666666667,0.666666667,0.666666667,0.666666667,0.722222222,disease,D1
real+150%Syn,0.666666667,0.666666667,0.666666667,0.666666667,0.694444444,disease,D1
real+200%Syn,0.666666667,0.666666667,0.666666667,0.666666667,0.694444444,disease,D1
real+300%Syn,0.75,0.833333333,0.666666667,0.769230769,0.833333333,disease,D1
all Syn,0.833333333,0.666666667,1,0.8,0.888888889,disease,D1
all real(baseline),0.858823529,0.891176471,0.776470588,0.869565217,0.948650519,calving,D2
real+50%Syn,0.876470588,0.929411765,0.823529412,0.882681564,0.951695502,calving,D2
real+100%Syn,0.858823529,0.929411765,0.788235294,0.868131868,0.955570934,calving,D2
real+150%Syn,0.864705882,0.917647059,0.811764706,0.87150838,0.935086505,calving,D2
real+200%Syn,0.852941176,0.882352941,0.823529412,0.857142857,0.944083045,calving,D2
real+300%Syn,0.858823529,0.952941176,0.764705882,0.870967742,0.953217993,calving,D2
all Syn,0.5,0,1,0,0.466851211,calving,D2
all real(baseline),0.5,0.13,1,0,0.570764463,estrus,D2
real+50%Syn,0.681818182,0.477272727,0.886363636,0.6,0.733471074,estrus,D2
real+100%Syn,0.511363636,0.56,0.977272727,0.085106383,0.584194215,estrus,D2
real+150%Syn,0.522727273,0.51,0.931818182,0.192307692,0.575413223,estrus,D2
real+200%Syn,0.5,0.42,0.977272727,0.043478261,0.529442149,estrus,D2
real+300%Syn,0.522727273,0.45,1,0.086956522,0.594524793,estrus,D2
all Syn,0.5,0.3,1,0,0.519628099,estrus,D2
all real(baseline),0.565789474,0.263157895,0.868421053,0.377358491,0.469529086,disease,D2
real+50%Syn,0.960526316,0.973684211,0.947368421,0.961038961,0.975761773,disease,D2
real+100%Syn,0.947368421,0.973684211,0.921052632,0.948717949,0.973684211,disease,D2
real+150%Syn,0.960526316,0.921052632,1,0.95890411,0.947368421,disease,D2
real+200%Syn,0.921052632,0.973684211,0.868421053,0.925,0.973684211,disease,D2
real+300%Syn,0.986842105,0.973684211,1,0.986666667,0.996537396,disease,D2
all Syn,0.973684211,0.973684211,0.973684211,0.973684211,0.997922438,disease,D2
all real(baseline),0.75,0.5,1,0.666666667,0.75,estrus,D3
real+50%Syn,0.5,0.5,1,0,1,estrus,D3
real+100%Syn,0.5,0.54,1,0,1,estrus,D3
real+150%Syn,0.5,0.2,1,0,0.75,estrus,D3
real+200%Syn,0.5,0.24,1,0,0.5,estrus,D3
real+300%Syn,0.75,0.5,1,0.666666667,1,estrus,D3
all Syn,0.5,0.44,1,0,0.25,estrus,D3
all real(baseline),0.5,0.2,1,0,0.48,disease,D3
real+50%Syn,0.5,0.2,1,0,0.64,disease,D3
real+100%Syn,0.8,0.8,0.8,0.8,0.72,disease,D3
real+150%Syn,0.8,0.8,0.8,0.8,0.84,disease,D3
real+200%Syn,0.6,0.8,0.4,0.666666667,0.76,disease,D3
real+300%Syn,0.8,1,0.6,0.833333333,0.84,disease,D3
all Syn,0.5,0.6,1,0,0.64,disease,D3
all real(baseline),0.964285714,0.928571429,1,0.962962963,0.933673469,calving,D4
real+50%Syn,0.964285714,0.928571429,1,0.962962963,0.994897959,calving,D4
real+100%Syn,0.928571429,0.928571429,0.928571429,0.928571429,0.994897959,calving,D4
real+150%Syn,0.964285714,0.928571429,1,0.962962963,0.959183673,calving,D4
real+200%Syn,0.964285714,0.928571429,1,0.962962963,0.969387755,calving,D4
real+300%Syn,0.928571429,0.928571429,0.928571429,0.928571429,0.964285714,calving,D4
all Syn,0.964285714,0.928571429,1,0.962962963,1,calving,D4
all real(baseline),0.269230769,0,1,0,0.458646617,estrus,D4
real+50%Syn,0.884615385,0.842105263,1,0.914285714,0.947368421,estrus,D4
real+100%Syn,0.846153846,0.789473684,1,0.882352941,0.887218045,estrus,D4
real+150%Syn,0.961538462,0.947368421,1,0.972972973,0.947368421,estrus,D4
real+200%Syn,0.807692308,0.947368421,0.428571429,0.87804878,0.77443609,estrus,D4
real+300%Syn,0.961538462,0.947368421,1,0.972972973,0.947368421,estrus,D4
all Syn,0.961538462,0.947368421,1,0.972972973,0.954887218,estrus,D4
all real(baseline),0.75,0.642857143,0.857142857,0.72,0.892857143,disease,D4
real+50%Syn,0.857142857,0.857142857,0.857142857,0.857142857,0.948979592,disease,D4
real+100%Syn,0.75,0.714285714,0.785714286,0.740740741,0.816326531,disease,D4
real+150%Syn,0.821428571,0.857142857,0.785714286,0.827586207,0.93877551,disease,D4
real+200%Syn,0.678571429,0.642857143,0.714285714,0.666666667,0.836734694,disease,D4
real+300%Syn,0.75,0.714285714,0.785714286,0.740740741,0.852040816,disease,D4
all Syn,0.571428571,0.142857143,1,0.25,0.530612245,disease,D4
