Supplemental Table 7. Classification accuracy for each type of behavior in two livestock databases with different augmentation ratios.,,,,,,,,,,,,,,,
Fold,Proportion,Accuracy,Recall_Minor1,Recall_Minor2,Recall_Minor3,Recall_Minor4,Precision_Minor1,Precision_Minor2,Precision_Minor3,Precision_Minor4,F1_Minor1,F1_Minor2,F1_Minor3,F1_Minor4,DS
1,all real,0.9825,0.79,0.95,0.95,0.9,1,1,0.943396226,0.989473684,0.994974874,1,0.970873786,0.964102564,Ito et al.
1,real+50%Syn,0.98125,0.99,1,0.995,0.94,0.994974874,1,0.943127962,0.989473684,0.992481203,1,0.96836983,0.964102564,Ito et al.
1,real+100%Syn,0.9825,0.99,1,1,0.94,1,1,0.943396226,0.989473684,0.994974874,1,0.970873786,0.964102564,Ito et al.
1,real+150%Syn,0.99125,0.995,1,1,0.97,1,1,0.970873786,0.994871795,0.997493734,1,0.985221675,0.982278481,Ito et al.
1,real+200%Syn,0.9825,1,1,0.995,0.935,0.995024876,1,0.938679245,1,0.997506234,1,0.966019417,0.966408269,Ito et al.
1,real+300%Syn,0.98375,1,1,0.995,0.94,0.995024876,1,0.943127962,1,0.997506234,1,0.96836983,0.969072165,Ito et al.
1,all Syn,0.835,0.98,0.955,0.405,1,0.924528302,1,1,0.632911392,0.951456311,0.976982097,0.576512456,0.775193798,Ito et al.
2,all real,0.69125,0.165,0.95,0.15,0.95,0.986486486,1,0.526315789,0.534759358,0.532846715,1,0.454545455,0.696864111,Ito et al.
2,real+50%Syn,0.59625,0.07,1,0.955,1,1,1,0.351955307,0.491400491,0.130841121,1,0.332453826,0.658978583,Ito et al.
2,real+100%Syn,0.55,0.08,1,0.21,1,1,1,0.148148148,0.473933649,0.148148148,1,0.132596685,0.643086817,Ito et al.
2,real+150%Syn,0.56375,0.115,1,0.585,0.985,0.821428571,1,0.298076923,0.420940171,0.201754386,1,0.203947368,0.589820359,Ito et al.
2,real+200%Syn,0.565,0.04,1,0.93,0.975,0.571428571,1,0.281609195,0.473300971,0.074766355,1,0.262032086,0.637254902,Ito et al.
2,real+300%Syn,0.52875,0.06,1,0.665,0.975,0.631578947,1,0.116788321,0.439189189,0.109589041,1,0.09495549,0.605590062,Ito et al.
2,all Syn,0.54625,0.185,1,0.895,1,0.755102041,1,0,0.419287212,0.297188755,1,0,0.59084195,Ito et al.
3,all real,0.745,0.785,0.95,0.95,0.945,0.510362694,0.930232558,0,1,0.672354949,0.963855422,0,0.997493734,Ito et al.
3,real+50%Syn,0.7175,0.865,1,1,1,0.61130742,0.892857143,1,0.684931507,0.716356108,0.943396226,0.009950249,0.81300813,Ito et al.
3,real+100%Syn,0.705,0.815,1,1,0.995,0.582142857,0.858369099,1,0.698245614,0.679166667,0.923787529,0.01980198,0.820618557,Ito et al.
3,real+150%Syn,0.73625,0.95,1,1,0.995,0.618892508,0.970873786,0,0.693379791,0.749506903,0.985221675,0,0.81724846,Ito et al.
3,real+200%Syn,0.74125,0.96,1,1,1,0.625407166,0.980392157,1,0.694444444,0.75739645,0.99009901,0.009950249,0.819672131,Ito et al.
3,real+300%Syn,0.7475,0.98,1,1,0.99,0.620253165,1,1,0.707142857,0.759689922,1,0.039215686,0.825,Ito et al.
3,all Syn,0.68,0.7,1,0.995,1,0.606060606,0.854700855,0.2,0.634920635,0.649651972,0.921658986,0.036363636,0.776699029,Ito et al.
1,all real,0.375,0.4,0.8,0.45,0.15,0.25,0.526315789,0.5,0.272727273,0.307692308,0.512820513,0.473684211,0.193548387,Erik et al.
1,real+50%Syn,0.475,0.4,0.7,0.55,0.55,0.347826087,0.727272727,0.733333333,0.35483871,0.372093023,0.516129032,0.628571429,0.431372549,Erik et al.
1,real+100%Syn,0.4125,0.5,0.45,0.6,0.65,0.4,0.75,0.636363636,0.325,0.444444444,0.25,0.451612903,0.433333333,Erik et al.
1,real+150%Syn,0.3875,0.4,0.3,0.45,0.95,0.571428571,0,1,0.306451613,0.470588235,0,0.333333333,0.463414634,Erik et al.
1,real+200%Syn,0.3625,0.3,0.5,0.6,0.6,0.3,0.8,0.636363636,0.272727273,0.3,0.32,0.451612903,0.375,Erik et al.
1,real+300%Syn,0.425,0.55,0.3,0.6,0.8,0.578947368,0,0.538461538,0.333333333,0.564102564,0,0.424242424,0.470588235,Erik et al.
1,all Syn,0.3875,0.8,0.3,0.3,0.7,0.41025641,0,1,0.35,0.542372881,0,0.095238095,0.466666667,Erik et al.
2,all real,0.325,1,0.3,0.25,0.05,0.357142857,0,0.357142857,0.1,0.526315789,0,0.294117647,0.066666667,Erik et al.
2,real+50%Syn,0.4625,0.75,0.3,0.4,0.7,0.483870968,0,0.615384615,0.388888889,0.588235294,0,0.484848485,0.5,Erik et al.
2,real+100%Syn,0.4875,1,0.3,0.55,0.65,0.487804878,0,0.545454545,0.464285714,0.655737705,0,0.387096774,0.541666667,Erik et al.
2,real+150%Syn,0.425,0.85,0.3,0.25,0.85,0.472222222,0,0,0.414634146,0.607142857,0,0,0.557377049,Erik et al.
2,real+200%Syn,0.4,0.85,0.3,0.35,0.65,0.447368421,0,0.285714286,0.371428571,0.586206897,0,0.148148148,0.472727273,Erik et al.
2,real+300%Syn,0.3625,0.5,0.3,0.25,0.95,0.357142857,0,0,0.365384615,0.416666667,0,0,0.527777778,Erik et al.
2,all Syn,0.35,0.65,0.3,0.25,0.75,0.325,0,0,0.375,0.433333333,0,0,0.5,Erik et al.
3,all real,0.05,0.15,0.35,0,0,0.130434783,0.043478261,0,0,0.139534884,0.046511628,0,0,Erik et al.
3,real+50%Syn,0.2375,0.4,0.4,0,0.45,0.380952381,0.083333333,0,0.272727273,0.390243902,0.090909091,0,0.339622642,Erik et al.
3,real+100%Syn,0.0625,0.25,0.3,0.25,0,0.166666667,0,0,0,0.2,0,0,0,Erik et al.
3,real+150%Syn,0.425,0.65,0.4,0.25,0.95,0.722222222,0.111111111,0,0.431818182,0.684210526,0.105263158,0,0.59375,Erik et al.
3,real+200%Syn,0.375,0.7,0.55,0.25,0.55,0.538461538,0.2,0,0.407407407,0.608695652,0.222222222,0,0.468085106,Erik et al.
3,real+300%Syn,0.375,0.65,0.6,0.25,0.55,0.565217391,0.3,0,0.297297297,0.604651163,0.3,0,0.385964912,Erik et al.
3,all Syn,0.3875,0.55,0.3,0.25,1,0.6875,0,0,0.317460317,0.611111111,0,0,0.481927711,Erik et al.
